9,2,"(1-1, 1-2, 2-1)","((1-1, (2, 3, 4, 5, 6)), (1-2, 1), (2-1, (1, 2, 3, 4, 5, 6)))","((1-2, 1-3, 1-4, 1-5, 1-6), (1-2, 1-3, 1-4, 1-5, 1-6, 2-3, 2-4, 2-5, 2-6, 3-4, 3-5, 3-6, 4-5, 4-6, 5-6))"
10,6,"(1-1, 1-2, 1-5, 2-1, 2-2, 2-6, 3-4, 3-6, 4-3, 4-5, 5-1, 5-4, 5-5, 6-2, 6-3)","((1-1, (1, 2, 3, 4)), (1-2, 5), (1-5, 6), (2-1, (4, 5)), (2-2, (1, 2, 3)), (2-6, 6), (3-4, (1, 2, 3, 6)), (3-6, (4, 5)), (4-3, (1, 2, 3, 6)), (4-5, (4, 5)), (5-1, (1, 2, 3, 6)), (5-4, 5), (5-5, 4), (6-2, (1, 2, 3, 6)), (6-3, (4, 5)))","((1-6, 2-6, 3-6, 4-5, 5-6), (1-6, 2-6, 3-6, 4-5, 4-6, 5-6), (1-4, 1-5, 2-4, 2-5, 3-4, 3-5, 4-6, 5-6), (1-4, 1-5, 2-4, 2-5, 3-4, 3-5, 4-5, 4-6, 5-6), (1-2, 1-3, 1-5, 1-6, 2-3, 2-5, 2-6, 3-5, 3-6, 4-5, 5-6), (1-2, 1-3, 1-4, 1-5, 1-6, 2-3, 2-4, 2-5, 2-6, 3-4, 3-5, 3-6, 4-6, 5-6))"
11,4,"(1-1, 1-2, 2-1, 2-2, 2-4, 3-4, 4-2, 4-3)","((1-1, (1, 2, 3, 4)), (1-2, (5, 6)), (2-1, (3, 4, 5)), (2-2, (1, 2)), (2-4, 6), (3-4, (1, 2, 3, 4, 5, 6)), (4-2, (1, 2, 6)), (4-3, (3, 4, 5)))","((1-6, 2-6, 3-5, 4-5, 5-6), (1-6, 2-6, 3-4, 3-5, 3-6, 4-5, 4-6, 5-6), (1-3, 1-4, 1-5, 2-3, 2-4, 2-5, 3-6, 4-6, 5-6), (1-2, 1-3, 1-4, 1-5, 1-6, 2-3, 2-4, 2-5, 2-6, 3-6, 4-6, 5-6))"
12,16,"(1-1, 1-2, 1-3, 1-8, 2-1, 2-2, 2-6, 2-11, 3-1, 3-3, 3-5, 3-10, 4-4, 4-5, 4-6, 4-15, 5-3, 5-4, 5-5, 5-16, 6-2, 6-4, 6-6, 6-13, 7-7, 7-9, 7-11, 7-16, 8-1, 8-8, 8-9, 8-10, 9-7, 9-8, 9-9, 9-15, 10-3, 10-8, 10-14, 11-2, 11-7, 11-11, 11-12, 12-11, 12-14, 12-16, 13-6, 13-14, 13-15, 14-10, 14-12, 14-13, 15-4, 15-9, 15-13, 16-5, 16-7, 16-12)","((1-1, (1, 5, 6)), (1-2, 3), (1-3, 4), (1-8, 2), (2-1, 3), (2-2, (1, 5, 6)), (2-6, 4), (2-11, 2), (3-1, (4, 5)), (3-3, (1, 6)), (3-5, 3), (3-10, 2), (4-4, (1, 6)), (4-5, (4, 5)), (4-6, 3), (4-15, 2), (5-3, 3), (5-4, (4, 5)), (5-5, (1, 6)), (5-16, 2), (6-2, (4, 5)), (6-4, 3), (6-6, (1, 6)), (6-13, 2), (7-7, 5), (7-9, (1, 2, 6)), (7-11, 3), (7-16, 4), (8-1, (1, 2, 6)), (8-8, 5), (8-9, 3), (8-10, 4), (9-7, (1, 2, 6)), (9-8, 3), (9-9, 5), (9-15, 4), (10-3, (1, 2, 6)), (10-8, (4, 5)), (10-14, 3), (11-2, (1, 2, 6)), (11-7, 3), (11-11, 5), (11-12, 4), (12-11, (4, 5)), (12-14, (1, 2, 6)), (12-16, 3), (13-6, (1, 2, 6)), (13-14, (4, 5)), (13-15, 3), (14-10, 3), (14-12, (1, 2, 6)), (14-13, (4, 5)), (15-4, (1, 2, 6)), (15-9, (4, 5)), (15-13, 3), (16-5, (4, 5)), (16-7, (1, 2, 6)), (16-12, 3))","((1-2, 2-3, 2-6, 3-4, 4-5), (1-2, 2-3, 2-4, 2-6, 3-4, 4-5), (1-2, 2-3, 2-6, 3-4, 3-5, 4-5), (1-2, 2-4, 2-5, 2-6, 3-4, 3-5), (1-2, 2-3, 2-4, 2-5, 2-6, 3-4, 3-5), (1-2, 2-4, 2-5, 2-6, 3-4, 3-5, 4-5), (1-3, 1-4, 2-3, 2-4, 3-6, 4-5, 4-6), (1-2, 1-3, 1-6, 2-3, 2-6, 3-4, 3-6, 4-5), (1-3, 1-4, 2-3, 2-4, 3-4, 3-6, 4-5, 4-6), (1-2, 1-3, 1-6, 2-3, 2-6, 3-4, 3-5, 3-6, 4-5), (1-2, 1-3, 1-4, 1-6, 2-3, 2-4, 2-6, 3-6, 4-5, 4-6), (1-3, 1-4, 1-5, 2-3, 2-4, 2-5, 3-6, 4-5, 4-6, 5-6), (1-2, 1-4, 1-5, 1-6, 2-4, 2-5, 2-6, 3-4, 3-5, 4-6, 5-6), (1-3, 1-4, 1-5, 2-3, 2-4, 2-5, 3-4, 3-5, 3-6, 4-6, 5-6), (1-2, 1-4, 1-5, 1-6, 2-4, 2-5, 2-6, 3-4, 3-5, 4-5, 4-6, 5-6), (1-2, 1-3, 1-4, 1-5, 1-6, 2-3, 2-4, 2-5, 2-6, 3-6, 4-5, 4-6, 5-6))"
13,10,"(1-1, 1-2, 1-6, 2-1, 2-2, 2-3, 2-9, 3-2, 3-3, 3-10, 4-4, 4-5, 4-8, 4-9, 5-4, 5-5, 5-6, 5-7, 6-1, 6-5, 6-6, 7-5, 7-8, 7-10, 8-4, 8-7, 8-9, 9-2, 9-4, 9-8, 9-9, 10-3, 10-7)","((1-1, (1, 5, 6)), (1-2, (2, 4)), (1-6, 3), (2-1, (1, 2)), (2-2, (5, 6)), (2-3, 4), (2-9, 3), (3-2, (1, 2, 4, 5)), (3-3, 6), (3-10, 3), (4-4, 5), (4-5, (3, 6)), (4-8, 4), (4-9, (1, 2)), (5-4, (3, 6)), (5-5, 5), (5-6, (1, 2)), (5-7, 4), (6-1, (3, 6)), (6-5, (1, 5)), (6-6, (2, 4)), (7-5, (4, 5)), (7-8, (3, 6)), (7-10, (1, 2)), (8-4, (1, 2)), (8-7, (3, 6)), (8-9, (4, 5)), (9-2, (3, 6)), (9-4, (1, 2)), (9-8, 4), (9-9, 5), (10-3, (3, 6)), (10-7, (1, 2, 4, 5)))","((1-2, 2-3, 3-4, 3-6, 4-5), (1-2, 1-3, 2-3, 3-4, 3-6, 4-5), (1-2, 1-3, 2-3, 3-4, 3-5, 3-6, 4-5), (1-3, 1-4, 1-6, 2-3, 2-4, 2-6, 4-5), (1-2, 1-3, 1-4, 1-6, 2-3, 2-4, 2-6, 4-5), (1-2, 2-3, 2-4, 2-6, 3-4, 3-6, 4-5, 4-6), (1-3, 1-4, 1-5, 1-6, 2-3, 2-4, 2-5, 2-6, 4-5), (1-2, 1-4, 1-5, 2-4, 2-5, 3-4, 3-5, 4-5, 4-6, 5-6), (1-3, 1-4, 1-6, 2-3, 2-4, 2-6, 3-4, 3-6, 4-5, 4-6), (1-3, 1-4, 1-5, 1-6, 2-3, 2-4, 2-5, 2-6, 3-4, 3-5, 3-6, 4-6, 5-6))"
14,25,"(1-1, 1-2, 1-3, 2-1, 2-2, 2-7, 2-8, 2-10, 3-1, 3-3, 3-6, 3-7, 3-9, 4-4, 4-9, 4-18, 5-5, 5-6, 5-10, 5-11, 5-19, 6-3, 6-5, 6-6, 6-12, 6-14, 7-2, 7-3, 7-7, 7-12, 7-20, 8-2, 8-15, 9-3, 9-4, 9-9, 9-13, 9-19, 10-2, 10-5, 10-10, 10-15, 10-18, 11-5, 11-12, 11-15, 11-24, 12-7, 12-11, 12-6, 12-22, 13-9, 13-13, 13-18, 13-20, 13-25, 14-6, 14-14, 14-19, 14-20, 14-21, 15-8, 15-10, 15-11, 15-25, 16-17, 16-24, 17-16, 17-19, 17-21, 17-22, 18-4, 18-10, 18-13, 18-18, 18-24, 19-5, 19-9, 19-14, 19-17, 19-19, 20-7, 20-13, 20-14, 20-20, 20-23, 21-14, 21-17, 22-12, 22-17, 22-24, 22-25, 23-20, 23-25, 24-11, 24-16, 24-18, 24-22, 25-13, 25-15, 25-22, 25-23)","((1-1, (1, 6)), (1-2, (3, 4)), (1-3, (2, 5)), (2-1, (1, 2)), (2-2, 6), (2-7, 4), (2-8, 5), (2-10, 3), (3-1, 3), (3-3, (1, 6)), (3-6, 2), (3-7, 5), (3-9, 4), (4-4, (1, 6)), (4-9, (3, 4)), (4-18, (2, 5)), (5-5, 6), (5-6, 3), (5-10, (1, 2)), (5-11, 5), (5-19, 4), (6-3, (1, 2)), (6-5, 3), (6-6, 6), (6-12, 5), (6-14, 4), (7-2, 4), (7-3, (1, 2)), (7-7, 6), (7-12, 5), (7-20, 3), (8-2, (1, 2, 5, 6)), (8-15, (3, 4)), (9-3, 4), (9-4, 3), (9-9, (1, 6)), (9-13, 2), (9-19, 5), (10-2, 3), (10-5, (1, 2)), (10-10, 6), (10-15, 5), (10-18, 4), (11-5, (5, 6)), (11-12, 3), (11-15, (1, 2)), (11-24, 4), (12-6, (1, 2)), (12-7, (5, 6)), (12-11, 4), (12-22, 3), (13-9, (1, 2)), (13-13, 6), (13-18, 3), (13-20, 4), (13-25, 5), (14-6, 4), (14-14, 6), (14-19, 3), (14-20, (1, 2)), (14-21, 5), (15-8, 3), (15-10, (5, 6)), (15-11, (1, 2)), (15-25, 4), (16-17, (3, 4)), (16-24, (1, 2, 5, 6)), (17-16, 3), (17-19, (1, 2)), (17-21, 4), (17-22, (5, 6)), (18-4, (1, 2)), (18-10, 4), (18-13, 3), (18-18, 6), (18-24, 5), (19-5, 3), (19-9, (5, 6)), (19-14, 4), (19-17, 2), (19-19, 1), (20-7, 3), (20-13, 4), (20-14, (1, 2)), (20-20, 6), (20-23, 5), (21-14, (1, 2, 5, 6)), (21-17, (3, 4)), (22-12, 3), (22-17, (1, 2)), (22-24, 4), (22-25, (5, 6)), (23-20, (1, 2, 5, 6)), (23-25, (3, 4)), (24-11, 3), (24-16, (1, 2)), (24-18, (5, 6)), (24-22, 4), (25-13, (1, 2)), (25-15, 4), (25-22, (5, 6)), (25-23, 3))","((1-2, 2-3, 3-4, 4-5, 5-6), (1-2, 1-3, 2-3, 3-4, 4-5, 5-6), (1-2, 2-3, 2-4, 3-4, 4-5, 5-6), (1-2, 2-4, 2-5, 3-4, 3-5, 5-6), (1-3, 1-4, 2-3, 2-4, 4-5, 5-6), (1-2, 1-3, 1-4, 2-3, 2-4, 4-5, 5-6), (1-2, 1-3, 2-3, 3-4, 3-5, 4-5, 5-6), (1-2, 1-3, 2-3, 3-4, 4-5, 4-6, 5-6), (1-2, 2-4, 2-5, 3-4, 3-5, 4-5, 5-6), (1-3, 1-4, 2-3, 2-4, 3-4, 4-5, 5-6), (1-3, 1-4, 2-3, 2-4, 4-5, 4-6, 5-6), (1-2, 1-3, 2-3, 3-5, 3-6, 4-5, 4-6, 5-6), (1-2, 1-4, 1-5, 2-4, 2-5, 3-4, 3-5, 5-6), (1-3, 1-4, 1-5, 2-3, 2-4, 2-5, 4-5, 5-6), (1-3, 1-4, 2-3, 2-4, 3-4, 4-5, 4-6, 5-6), (1-3, 1-5, 1-6, 2-3, 2-5, 2-6, 4-5, 4-6), (1-2, 1-3, 1-5, 1-6, 2-3, 2-5, 2-6, 4-5, 4-6), (1-2, 1-4, 1-5, 2-4, 2-5, 3-4, 3-5, 4-5, 5-6), (1-2, 2-3, 2-5, 2-6, 3-5, 3-6, 4-5, 4-6, 5-6), (1-3, 1-4, 1-5, 2-3, 2-4, 2-5, 3-4, 3-5, 5-6), (1-2, 1-3, 1-5, 1-6, 2-3, 2-5, 2-6, 4-5, 4-6, 5-6), (1-3, 1-5, 1-6, 2-3, 2-5, 2-6, 3-5, 3-6, 4-5, 4-6), (1-2, 1-4, 1-5, 1-6, 2-4, 2-5, 2-6, 3-4, 3-5, 3-6, 5-6), (1-3, 1-5, 1-6, 2-3, 2-5, 2-6, 3-5, 3-6, 4-5, 4-6, 5-6), (1-2, 1-4, 1-5, 1-6, 2-4, 2-5, 2-6, 3-4, 3-5, 3-6, 4-5, 4-6))"
15,5,"(1-1, 1-2, 1-3, 2-1, 2-2, 2-3, 3-1, 3-2, 3-3, 3-4, 4-3, 4-5, 5-4)","((1-1, (1, 2)), (1-2, (3, 5)), (1-3, (4, 6)), (2-1, (3, 5)), (2-2, (1, 2)), (2-3, (4, 6)), (3-1, (2, 4)), (3-2, (3, 5)), (3-3, 1), (3-4, 6), (4-3, (1, 2, 4, 6)), (4-5, (3, 5)), (5-4, (1, 2, 3, 4, 5, 6)))","((1-6, 2-4, 3-4, 3-6, 4-5, 5-6), (1-6, 2-4, 3-4, 3-6, 4-5, 4-6, 5-6), (1-6, 2-3, 2-4, 2-5, 3-4, 3-5, 3-6, 4-5, 5-6), (1-3, 1-5, 1-6, 2-3, 2-4, 2-5, 3-4, 3-6, 4-5, 5-6), (1-2, 1-3, 1-4, 1-5, 2-3, 2-5, 2-6, 3-4, 3-6, 4-5, 4-6, 5-6))"
16,5,"(1-1, 1-2, 2-1, 2-2, 2-3, 3-2, 3-3, 3-4, 3-5, 4-3, 4-4, 4-5, 5-3, 5-4)","((1-1, (1, 5, 6)), (1-2, (2, 3, 4)), (2-1, (1, 2)), (2-2, (5, 6)), (2-3, (3, 4)), (3-2, (3, 6)), (3-3, 5), (3-4, (1, 2)), (3-5, 4), (4-3, (1, 2, 3, 6)), (4-4, 5), (4-5, 4), (5-3, (3, 4, 5, 6)), (5-4, (1, 2)))","((1-2, 2-3, 2-4, 3-4, 3-6, 4-5), (1-2, 1-3, 1-4, 2-3, 2-4, 3-6, 4-5), (1-3, 1-4, 1-6, 2-3, 2-4, 2-6, 3-6, 4-5), (1-3, 1-4, 1-6, 2-3, 2-4, 2-6, 3-4, 4-5, 4-6), (1-2, 1-3, 1-4, 1-5, 1-6, 2-3, 2-4, 2-5, 2-6, 3-6, 4-5))"
17,21,"(1-1, 1-2, 1-5, 1-14, 2-1, 2-2, 2-6, 2-11, 2-20, 3-7, 3-8, 3-17, 4-4, 4-9, 4-10, 5-1, 5-5, 5-6, 5-11, 5-9, 5-18, 6-2, 6-5, 6-6, 6-21, 7-3, 7-13, 7-18, 8-3, 8-13, 8-20, 8-21, 9-4, 9-5, 9-9, 9-11, 9-15, 10-4, 10-12, 10-15, 11-2, 11-5, 11-9, 11-11, 11-17, 12-10, 12-16, 12-20, 12-21, 13-7, 13-8, 13-14, 13-20, 14-1, 14-13, 14-18, 15-9, 15-10, 15-16, 15-18, 15-19, 16-12, 16-15, 16-18, 16-17, 17-3, 17-11, 17-16, 17-19, 17-20, 18-5, 18-7, 18-14, 18-15, 18-16, 19-15, 19-17, 19-19, 20-2, 20-8, 20-12, 20-13, 20-17, 21-6, 21-8, 21-12)","((1-1, 6), (1-2, (2, 5)), (1-5, (3, 4)), (1-14, 1), (2-1, 2), (2-2, 6), (2-6, 5), (2-11, (3, 4)), (2-20, 1), (3-7, (1, 6)), (3-8, (4, 5)), (3-17, (2, 3)), (4-4, 6), (4-9, (2, 3, 4, 5)), (4-10, 1), (5-1, 3), (5-5, 6), (5-6, 2), (5-9, 4), (5-11, 5), (5-18, 1), (6-2, (2, 5)), (6-5, (3, 4)), (6-6, 6), (6-21, 1), (7-3, (1, 6)), (7-13, (4, 5)), (7-18, (2, 3)), (8-3, 4), (8-13, (1, 5, 6)), (8-20, 2), (8-21, 3), (9-4, (2, 3)), (9-5, 4), (9-9, 6), (9-11, 5), (9-15, 1), (10-4, (1, 6)), (10-12, (2, 5)), (10-15, (3, 4)), (11-2, (2, 3)), (11-5, 5), (11-9, 4), (11-11, 6), (11-17, 1), (12-10, 4), (12-16, (1, 5, 6)), (12-20, 3), (12-21, 2), (13-7, 4), (13-8, (1, 5, 6)), (13-14, 2), (13-20, 3), (14-1, (1, 6)), (14-13, (2, 5)), (14-18, (3, 4)), (15-9, (1, 6)), (15-10, 3), (15-16, 2), (15-18, 4), (15-19, 5), (16-12, (1, 5, 6)), (16-15, 4), (16-17, 3), (16-18, 2), (17-3, 2), (17-11, (1, 6)), (17-16, 5), (17-19, 3), (17-20, 4), (18-5, (1, 6)), (18-7, 5), (18-14, 3), (18-15, 4), (18-16, 2), (19-15, (4, 5)), (19-17, (2, 3)), (19-19, (1, 6)), (20-2, (1, 6)), (20-8, 2), (20-12, 3), (20-13, 5), (20-17, 4), (21-6, (2, 5)), (21-8, (1, 6)), (21-12, (3, 4)))","((1-2, 1-5, 1-6, 2-3, 3-4, 4-5), (1-2, 1-3, 1-5, 1-6, 2-3, 3-4, 4-5), (1-2, 1-3, 2-5, 2-6, 3-4, 3-6, 4-5), (1-2, 1-4, 1-6, 2-4, 2-5, 3-4, 3-5), (1-2, 1-5, 1-6, 2-3, 2-4, 3-4, 4-5), (1-2, 1-3, 1-4, 1-5, 1-6, 2-3, 3-4, 4-5), (1-2, 1-3, 2-3, 2-5, 2-6, 3-4, 3-6, 4-5), (1-2, 1-3, 2-5, 2-6, 3-4, 3-5, 3-6, 4-5), (1-2, 1-5, 1-6, 2-4, 2-5, 3-4, 3-5, 4-5), (1-2, 1-5, 1-6, 2-4, 2-6, 3-4, 3-5, 5-6), (1-3, 1-4, 1-5, 1-6, 2-3, 2-4, 3-4, 4-5), (1-2, 1-3, 1-4, 2-5, 2-6, 3-4, 3-5, 3-6, 4-6), (1-2, 1-3, 2-3, 2-5, 2-6, 3-4, 3-5, 3-6, 4-5), (1-2, 1-5, 1-6, 2-3, 2-5, 2-6, 3-4, 4-5, 5-6), (1-2, 1-5, 1-6, 2-4, 2-6, 3-4, 3-5, 4-5, 5-6), (1-2, 1-3, 1-4, 2-3, 2-4, 2-5, 2-6, 3-5, 3-6, 4-6), (1-2, 1-3, 1-5, 1-6, 2-5, 2-6, 3-4, 3-6, 4-5, 5-6), (1-2, 1-5, 1-6, 2-3, 2-4, 2-5, 2-6, 3-4, 4-5, 5-6), (1-2, 1-3, 1-4, 1-5, 2-4, 2-6, 3-5, 3-6, 4-5, 4-6, 5-6), (1-2, 1-3, 1-5, 1-6, 2-5, 2-6, 3-4, 3-5, 3-6, 4-5, 5-6), (1-2, 1-3, 1-4, 1-5, 1-6, 2-4, 2-5, 2-6, 3-5, 3-6, 4-6, 5-6))"
18,16,"(1-3, 2-4, 2-15, 3-1, 3-4, 3-6, 3-7, 4-2, 4-3, 4-9, 4-10, 4-11, 4-15, 5-8, 5-11, 5-9, 5-16, 6-3, 6-12, 6-10, 6-13, 7-3, 7-9, 8-5, 8-12, 8-13, 8-14, 9-4, 9-7, 9-5, 9-16, 10-6, 10-4, 10-11, 11-4, 11-5, 11-10, 11-13, 11-15, 11-16, 12-6, 12-8, 13-6, 13-8, 13-11, 13-14, 14-8, 14-13, 14-16, 15-2, 15-4, 15-11, 15-15, 16-5, 16-9, 16-11, 16-14)","((1-3, (1, 2, 3, 4, 5, 6)), (2-4, (1, 2, 4, 5)), (2-15, (3, 6)), (3-1, 1), (3-4, (3, 5)), (3-6, (2, 6)), (3-7, 4), (4-2, 1), (4-3, 2), (4-9, 4), (4-10, 5), (4-11, 6), (4-15, 3), (5-8, (1, 4)), (5-9, 6), (5-11, (2, 5)), (5-16, 3), (6-3, (1, 3)), (6-10, (4, 6)), (6-12, 5), (6-13, 2), (7-3, (1, 4)), (7-9, (2, 3, 5, 6)), (8-5, (1, 3)), (8-12, 2), (8-13, 5), (8-14, (4, 6)), (9-4, (2, 5)), (9-5, 6), (9-7, (1, 4)), (9-16, 3), (10-4, (2, 4)), (10-6, (1, 5)), (10-11, (3, 6)), (11-4, 6), (11-5, 4), (11-10, 5), (11-13, 2), (11-15, 1), (11-16, 3), (12-6, (1, 3, 5)), (12-8, (2, 4, 6)), (13-6, 2), (13-8, 5), (13-11, (1, 3)), (13-14, (4, 6)), (14-8, (5, 6)), (14-13, (1, 4)), (14-16, (2, 3)), (15-2, 1), (15-4, (3, 6)), (15-11, (2, 5)), (15-15, 4), (16-5, 6), (16-9, 3), (16-11, (1, 4)), (16-14, (2, 5)))","((1-2, 1-6, 2-3, 3-4, 4-5, 5-6), (1-2, 1-3, 2-6, 3-4, 3-6, 4-5, 5-6), (1-2, 1-6, 2-3, 2-6, 3-4, 4-5, 5-6), (1-2, 1-3, 2-3, 2-6, 3-4, 3-6, 4-5, 5-6), (1-2, 1-3, 2-5, 2-6, 3-4, 3-6, 4-5, 5-6), (1-2, 1-6, 2-3, 2-4, 2-6, 3-4, 4-5, 5-6), (1-2, 1-6, 2-3, 2-6, 3-4, 3-5, 4-5, 5-6), (1-2, 1-3, 1-4, 2-3, 2-4, 2-6, 3-6, 4-5, 5-6), (1-2, 1-3, 2-3, 2-6, 3-4, 3-5, 3-6, 4-5, 5-6), (1-2, 1-3, 2-3, 2-6, 3-4, 3-6, 4-5, 4-6, 5-6), (1-2, 1-3, 2-5, 2-6, 3-4, 3-5, 3-6, 4-5, 5-6), (1-2, 1-6, 2-3, 2-4, 2-6, 3-4, 4-5, 4-6, 5-6), (1-2, 1-3, 1-4, 2-3, 2-4, 2-6, 3-6, 4-5, 4-6, 5-6), (1-3, 1-4, 1-5, 1-6, 2-3, 2-4, 2-5, 3-6, 4-5, 4-6), (1-3, 1-4, 1-6, 2-3, 2-4, 3-4, 3-6, 4-5, 4-6, 5-6), (1-3, 1-4, 1-5, 1-6, 2-3, 2-4, 2-5, 3-4, 3-5, 3-6, 4-6))"
19,2,"(1-2, 2-1, 2-2)","((1-2, (1, 2, 3, 4, 5, 6)), (2-1, (1, 2, 3, 4, 5)), (2-2, 6))","((1-2, 1-3, 1-6, 2-3, 2-5, 3-4, 4-5, 4-6, 5-6), (1-2, 1-3, 1-6, 2-5, 2-6, 3-4, 3-6, 4-5, 4-6, 5-6))"